,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2015,2087.3053230668,NY.GDP.PCAP.PP.CD,AFG,Afghanistan,South Asia,Low income,IDA
1,2016,1981.118068507,NY.GDP.PCAP.PP.CD,AFG,Afghanistan,South Asia,Low income,IDA
2,2017,2058.4002210698,NY.GDP.PCAP.PP.CD,AFG,Afghanistan,South Asia,Low income,IDA
3,2018,2082.6356482136,NY.GDP.PCAP.PP.CD,AFG,Afghanistan,South Asia,Low income,IDA
4,2019,2152.3664894209,NY.GDP.PCAP.PP.CD,AFG,Afghanistan,South Asia,Low income,IDA
5,2020,2087.6364124099,NY.GDP.PCAP.PP.CD,AFG,Afghanistan,South Asia,Low income,IDA
6,2015,11658.8660596051,NY.GDP.PCAP.PP.CD,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
7,2016,12078.8007284137,NY.GDP.PCAP.PP.CD,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
8,2017,12770.9750370811,NY.GDP.PCAP.PP.CD,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
9,2018,13546.4816863125,NY.GDP.PCAP.PP.CD,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
10,2019,14230.9895072106,NY.GDP.PCAP.PP.CD,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
11,2020,13817.7589656756,NY.GDP.PCAP.PP.CD,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
12,2015,12015.6329073378,NY.GDP.PCAP.PP.CD,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
13,2016,11624.3407087852,NY.GDP.PCAP.PP.CD,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
14,2017,11737.4161588301,NY.GDP.PCAP.PP.CD,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
15,2018,11921.7253285832,NY.GDP.PCAP.PP.CD,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
16,2019,11997.3378341915,NY.GDP.PCAP.PP.CD,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
17,2020,11268.2645715988,NY.GDP.PCAP.PP.CD,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
18,2015,7337.5698220494,NY.GDP.PCAP.PP.CD,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
19,2016,7103.2264306109,NY.GDP.PCAP.PP.CD,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
20,2017,7310.8965889551,NY.GDP.PCAP.PP.CD,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
21,2018,7099.9719580993,NY.GDP.PCAP.PP.CD,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
22,2019,6952.4193623685,NY.GDP.PCAP.PP.CD,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
23,2020,6538.4521115306,NY.GDP.PCAP.PP.CD,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
24,2015,18911.3068944389,NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
25,2016,19920.2657838504,NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
26,2017,19840.2840357026,NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
27,2018,21535.330885686,NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
28,2019,22460.0192532032,NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
29,2020,18942.3882322162,NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
30,2015,20105.1989918165,NY.GDP.PCAP.PP.CD,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
31,2016,20307.870052142,NY.GDP.PCAP.PP.CD,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
32,2017,23597.117752839,NY.GDP.PCAP.PP.CD,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
33,2018,23305.847419406,NY.GDP.PCAP.PP.CD,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
34,2019,22996.9855202977,NY.GDP.PCAP.PP.CD,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
35,2020,20767.6106833042,NY.GDP.PCAP.PP.CD,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
36,2015,9969.6648539782,NY.GDP.PCAP.PP.CD,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
37,2016,10704.2297624759,NY.GDP.PCAP.PP.CD,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
38,2017,12115.1392902637,NY.GDP.PCAP.PP.CD,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
39,2018,13020.3963185992,NY.GDP.PCAP.PP.CD,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
40,2019,14231.180188533,NY.GDP.PCAP.PP.CD,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
41,2020,13284.1609478721,NY.GDP.PCAP.PP.CD,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
42,2015,37311.7503195981,NY.GDP.PCAP.PP.CD,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
43,2016,37585.0250792115,NY.GDP.PCAP.PP.CD,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
44,2017,38897.122666275,NY.GDP.PCAP.PP.CD,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
45,2015,46288.3344786414,NY.GDP.PCAP.PP.CD,AUS,Australia,East Asia & Pacific,High income,Not classified
46,2016,47339.969213264,NY.GDP.PCAP.PP.CD,AUS,Australia,East Asia & Pacific,High income,Not classified
47,2017,48482.6474614392,NY.GDP.PCAP.PP.CD,AUS,Australia,East Asia & Pacific,High income,Not classified
48,2018,50252.8404567524,NY.GDP.PCAP.PP.CD,AUS,Australia,East Asia & Pacific,High income,Not classified
49,2019,52203.1322876387,NY.GDP.PCAP.PP.CD,AUS,Australia,East Asia & Pacific,High income,Not classified
50,2020,52518.3244830382,NY.GDP.PCAP.PP.CD,AUS,Australia,East Asia & Pacific,High income,Not classified
51,2015,49865.9039424185,NY.GDP.PCAP.PP.CD,AUT,Austria,Europe & Central Asia,High income,Not classified
52,2016,52684.0171130768,NY.GDP.PCAP.PP.CD,AUT,Austria,Europe & Central Asia,High income,Not classified
53,2017,54169.9639937065,NY.GDP.PCAP.PP.CD,AUT,Austria,Europe & Central Asia,High income,Not classified
54,2018,57050.3513549091,NY.GDP.PCAP.PP.CD,AUT,Austria,Europe & Central Asia,High income,Not classified
55,2019,58649.6683148852,NY.GDP.PCAP.PP.CD,AUT,Austria,Europe & Central Asia,High income,Not classified
56,2020,55352.0340588691,NY.GDP.PCAP.PP.CD,AUT,Austria,Europe & Central Asia,High income,Not classified
57,2015,14938.4011276715,NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
58,2016,14371.0227410092,NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
59,2017,14121.4069355591,NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
60,2018,14550.8204045494,NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
61,2019,15049.9385648137,NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
62,2020,14451.9838240919,NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
63,2015,33424.2446640741,NY.GDP.PCAP.PP.CD,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
64,2016,34154.9814490258,NY.GDP.PCAP.PP.CD,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
65,2017,36298.4480017563,NY.GDP.PCAP.PP.CD,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
66,2018,37908.8381385227,NY.GDP.PCAP.PP.CD,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
67,2019,38669.3350131335,NY.GDP.PCAP.PP.CD,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
68,2020,32453.529860273,NY.GDP.PCAP.PP.CD,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
69,2015,45575.7835718316,NY.GDP.PCAP.PP.CD,BHR,Bahrain,Middle East & North Africa,High income,Not classified
70,2016,44768.9709139461,NY.GDP.PCAP.PP.CD,BHR,Bahrain,Middle East & North Africa,High income,Not classified
71,2017,47709.7780156397,NY.GDP.PCAP.PP.CD,BHR,Bahrain,Middle East & North Africa,High income,Not classified
72,2018,47309.7095539899,NY.GDP.PCAP.PP.CD,BHR,Bahrain,Middle East & North Africa,High income,Not classified
73,2019,46966.0262725818,NY.GDP.PCAP.PP.CD,BHR,Bahrain,Middle East & North Africa,High income,Not classified
74,2020,43181.2110063581,NY.GDP.PCAP.PP.CD,BHR,Bahrain,Middle East & North Africa,High income,Not classified
75,2015,3555.505259706,NY.GDP.PCAP.PP.CD,BGD,Bangladesh,South Asia,Lower middle income,IDA
76,2016,3848.9576636919,NY.GDP.PCAP.PP.CD,BGD,Bangladesh,South Asia,Lower middle income,IDA
77,2017,4160.7033247153,NY.GDP.PCAP.PP.CD,BGD,Bangladesh,South Asia,Lower middle income,IDA
78,2018,4547.4795716194,NY.GDP.PCAP.PP.CD,BGD,Bangladesh,South Asia,Lower middle income,IDA
79,2019,4954.7614000529,NY.GDP.PCAP.PP.CD,BGD,Bangladesh,South Asia,Lower middle income,IDA
80,2020,5082.6807951847,NY.GDP.PCAP.PP.CD,BGD,Bangladesh,South Asia,Lower middle income,IDA
81,2015,15510.6612056616,NY.GDP.PCAP.PP.CD,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
82,2016,15951.9586760888,NY.GDP.PCAP.PP.CD,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
83,2017,15789.0411622149,NY.GDP.PCAP.PP.CD,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
84,2018,16051.2558119276,NY.GDP.PCAP.PP.CD,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
85,2019,16300.422208391,NY.GDP.PCAP.PP.CD,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
86,2020,13576.8019192553,NY.GDP.PCAP.PP.CD,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
87,2015,18041.2425036167,NY.GDP.PCAP.PP.CD,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
88,2016,17725.7521791512,NY.GDP.PCAP.PP.CD,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
89,2017,18280.1989190642,NY.GDP.PCAP.PP.CD,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
90,2018,19338.6664376772,NY.GDP.PCAP.PP.CD,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
91,2019,20098.5989768733,NY.GDP.PCAP.PP.CD,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
92,2020,20199.6986709766,NY.GDP.PCAP.PP.CD,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
93,2015,46200.904454307,NY.GDP.PCAP.PP.CD,BEL,Belgium,Europe & Central Asia,High income,Not classified
94,2016,48597.3999826201,NY.GDP.PCAP.PP.CD,BEL,Belgium,Europe & Central Asia,High income,Not classified
95,2017,50442.2705419623,NY.GDP.PCAP.PP.CD,BEL,Belgium,Europe & Central Asia,High income,Not classified
96,2018,52662.5329289973,NY.GDP.PCAP.PP.CD,BEL,Belgium,Europe & Central Asia,High income,Not classified
97,2019,54709.4669035074,NY.GDP.PCAP.PP.CD,BEL,Belgium,Europe & Central Asia,High income,Not classified
98,2020,51968.1920227771,NY.GDP.PCAP.PP.CD,BEL,Belgium,Europe & Central Asia,High income,Not classified
99,2015,7235.7101776584,NY.GDP.PCAP.PP.CD,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
100,2016,7236.9309594066,NY.GDP.PCAP.PP.CD,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
101,2017,7193.6343099034,NY.GDP.PCAP.PP.CD,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
102,2018,7436.2264215185,NY.GDP.PCAP.PP.CD,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
103,2019,7558.6046557447,NY.GDP.PCAP.PP.CD,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
104,2020,6455.961809629,NY.GDP.PCAP.PP.CD,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
105,2015,2886.8291371897,NY.GDP.PCAP.PP.CD,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
106,2016,3004.8078049909,NY.GDP.PCAP.PP.CD,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
107,2017,3044.5171562032,NY.GDP.PCAP.PP.CD,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
108,2018,3236.670417183,NY.GDP.PCAP.PP.CD,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
109,2019,3426.3296544539,NY.GDP.PCAP.PP.CD,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
110,2020,3505.6351944962,NY.GDP.PCAP.PP.CD,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
111,2015,71873.2280578182,NY.GDP.PCAP.PP.CD,BMU,Bermuda,North America,High income,Not classified
112,2016,76362.0514142141,NY.GDP.PCAP.PP.CD,BMU,Bermuda,North America,High income,Not classified
113,2017,81834.9558735543,NY.GDP.PCAP.PP.CD,BMU,Bermuda,North America,High income,Not classified
114,2018,83377.0646748086,NY.GDP.PCAP.PP.CD,BMU,Bermuda,North America,High income,Not classified
115,2019,85263.7630031759,NY.GDP.PCAP.PP.CD,BMU,Bermuda,North America,High income,Not classified
116,2015,9500.6507156498,NY.GDP.PCAP.PP.CD,BTN,Bhutan,South Asia,Lower middle income,IDA
117,2016,10457.244384538,NY.GDP.PCAP.PP.CD,BTN,Bhutan,South Asia,Lower middle income,IDA
118,2017,11142.4746724654,NY.GDP.PCAP.PP.CD,BTN,Bhutan,South Asia,Lower middle income,IDA
119,2018,11620.9159001164,NY.GDP.PCAP.PP.CD,BTN,Bhutan,South Asia,Lower middle income,IDA
120,2019,12332.5394928352,NY.GDP.PCAP.PP.CD,BTN,Bhutan,South Asia,Lower middle income,IDA
121,2020,11508.1742789657,NY.GDP.PCAP.PP.CD,BTN,Bhutan,South Asia,Lower middle income,IDA
122,2015,7133.8731450873,NY.GDP.PCAP.PP.CD,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
123,2016,7499.7727395414,NY.GDP.PCAP.PP.CD,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
124,2017,8423.6975596562,NY.GDP.PCAP.PP.CD,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
125,2018,8863.3491743931,NY.GDP.PCAP.PP.CD,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
126,2019,9093.43166012,NY.GDP.PCAP.PP.CD,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
127,2020,8367.3272328516,NY.GDP.PCAP.PP.CD,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
128,2015,12010.7123648982,NY.GDP.PCAP.PP.CD,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
129,2016,13072.1322301285,NY.GDP.PCAP.PP.CD,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
130,2017,13753.8320539223,NY.GDP.PCAP.PP.CD,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
131,2018,14916.7943797238,NY.GDP.PCAP.PP.CD,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
132,2019,15847.1340401587,NY.GDP.PCAP.PP.CD,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
133,2020,15611.7913059942,NY.GDP.PCAP.PP.CD,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
134,2015,15547.1643247545,NY.GDP.PCAP.PP.CD,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
135,2016,17260.4565424384,NY.GDP.PCAP.PP.CD,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
136,2017,17253.6874951645,NY.GDP.PCAP.PP.CD,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
137,2018,18058.060955774,NY.GDP.PCAP.PP.CD,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
138,2019,18528.5884353174,NY.GDP.PCAP.PP.CD,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
139,2020,16920.846823743,NY.GDP.PCAP.PP.CD,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
140,2015,14744.1136344696,NY.GDP.PCAP.PP.CD,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
141,2016,14256.163385421,NY.GDP.PCAP.PP.CD,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
142,2017,14524.6135408175,NY.GDP.PCAP.PP.CD,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
143,2018,15020.4382238881,NY.GDP.PCAP.PP.CD,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
144,2019,15388.2349159911,NY.GDP.PCAP.PP.CD,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
145,2020,14836.3072317446,NY.GDP.PCAP.PP.CD,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
